time_iso8601,clones_total,clones_unique,views_total,views_unique
2020-12-21 00:00:00+00:00,3,3,78,20
2020-12-22 00:00:00+00:00,2,2,126,23
2020-12-23 00:00:00+00:00,2,2,87,20
2020-12-24 00:00:00+00:00,2,2,41,12
2020-12-25 00:00:00+00:00,3,3,41,11
2020-12-26 00:00:00+00:00,45,5,274,20
2020-12-27 00:00:00+00:00,11,3,223,17
2020-12-28 00:00:00+00:00,8,3,195,25
2020-12-29 00:00:00+00:00,7,3,143,22
2020-12-30 00:00:00+00:00,7,3,80,19
2020-12-31 00:00:00+00:00,7,3,29,14
2021-01-01 00:00:00+00:00,7,3,27,14
2021-01-02 00:00:00+00:00,9,5,79,17
2021-01-03 00:00:00+00:00,8,4,77,20
