url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,486,132
/jgehrcke/covid-19-germany-gae/actions,75,2
/jgehrcke/covid-19-germany-gae/pulls,60,5
/jgehrcke/covid-19-germany-gae/issues,54,9
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-state.csv,50,25
/jgehrcke/covid-19-germany-gae/blob/master/cases-rki-by-ags.csv,46,22
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,33,20
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-state.csv,26,12
/jgehrcke/covid-19-germany-gae/tree/master/tools,24,13
/jgehrcke/covid-19-germany-gae/blob/master/cases-rl-crowdsource-by-state.csv,24,7
