time_iso8601,views_total,views_unique
2020-11-30 00:00:00+00:00,49,13
2020-12-01 00:00:00+00:00,59,13
2020-12-02 00:00:00+00:00,91,16
2020-12-03 00:00:00+00:00,60,16
2020-12-04 00:00:00+00:00,107,22
2020-12-05 00:00:00+00:00,110,17
2020-12-06 00:00:00+00:00,84,18
2020-12-07 00:00:00+00:00,104,21
2020-12-08 00:00:00+00:00,89,17
2020-12-09 00:00:00+00:00,72,20
2020-12-10 00:00:00+00:00,102,24
2020-12-11 00:00:00+00:00,158,27
2020-12-12 00:00:00+00:00,107,22
2020-12-13 00:00:00+00:00,262,41
2020-12-14 00:00:00+00:00,79,22
