time_iso8601,clones_total,clones_unique,views_total,views_unique
2020-12-15 00:00:00+00:00,2,2,115,20
2020-12-16 00:00:00+00:00,2,2,158,31
2020-12-17 00:00:00+00:00,4,4,171,38
2020-12-18 00:00:00+00:00,2,2,150,29
2020-12-19 00:00:00+00:00,2,2,98,23
2020-12-20 00:00:00+00:00,3,3,78,14
2020-12-21 00:00:00+00:00,3,3,78,20
2020-12-22 00:00:00+00:00,2,2,126,23
2020-12-23 00:00:00+00:00,2,2,87,20
2020-12-24 00:00:00+00:00,2,2,41,12
2020-12-25 00:00:00+00:00,3,3,41,11
2020-12-26 00:00:00+00:00,45,5,274,20
2020-12-27 00:00:00+00:00,11,3,223,17
2020-12-28 00:00:00+00:00,8,3,195,25
2020-12-29 00:00:00+00:00,3,2,46,10
