time_iso8601,forks_cumulative
2020-03-31 00:00:00+00:00,1
2020-04-02 00:00:00+00:00,2
2020-04-04 00:00:00+00:00,3
2020-04-08 00:00:00+00:00,4
2020-04-13 00:00:00+00:00,5
2020-04-21 00:00:00+00:00,6
2020-05-08 00:00:00+00:00,8
2020-05-21 00:00:00+00:00,9
2020-05-26 00:00:00+00:00,10
2020-07-09 00:00:00+00:00,11
2020-08-19 00:00:00+00:00,12
2020-09-22 00:00:00+00:00,13
2020-10-20 00:00:00+00:00,14
2020-10-22 00:00:00+00:00,15
2020-11-02 00:00:00+00:00,16
2020-11-30 00:00:00+00:00,17
2020-12-09 00:00:00+00:00,18
2020-12-10 00:00:00+00:00,19
2020-12-12 00:00:00+00:00,20
2020-12-15 00:00:00+00:00,21
2021-01-22 00:00:00+00:00,22
2021-02-10 00:00:00+00:00,23
2021-02-13 00:00:00+00:00,24
2021-02-17 00:00:00+00:00,25
2021-02-25 00:00:00+00:00,26
2021-03-09 00:00:00+00:00,27
2021-03-10 00:00:00+00:00,28
2021-03-20 00:00:00+00:00,29
