url_path,views_total,views_unique
/jgehrcke/covid-19-germany-gae,12,10
/jgehrcke/covid-19-germany-gae/blob/master/data.csv,10,4
/jgehrcke/covid-19-germany-gae/blob/master/README.md,9,1
/jgehrcke/covid-19-germany-gae/tree/master/geodata,5,2
/jgehrcke/covid-19-germany-gae/tree/master/more-data,5,2
/jgehrcke/covid-19-germany-gae/blob/master/deaths-rki-by-ags.csv,4,2
/jgehrcke/covid-19-germany-gae/blob/master/cases-rl-crowdsource-by-ags.csv,2,1
/jgehrcke/covid-19-germany-gae/blob/master/geodata/DE-counties.geojson,2,1
/jgehrcke/covid-19-germany-gae/blob/master/tools/build-rki-csvs.py,2,1
/jgehrcke/covid-19-germany-gae/issues/666,2,1
