time_iso8601,forks_cumulative
2021-01-22 00:00:00+00:00,1
2021-04-07 00:00:00+00:00,2
2021-05-06 00:00:00+00:00,3
2021-06-04 00:00:00+00:00,4
2021-08-03 00:00:00+00:00,5
2021-08-08 00:00:00+00:00,6
2021-09-11 00:00:00+00:00,7
2021-09-12 00:00:00+00:00,8
2021-10-15 00:00:00+00:00,9
2021-10-22 00:00:00+00:00,10
2021-11-05 00:00:00+00:00,11
2021-11-09 00:00:00+00:00,12
2021-11-12 00:00:00+00:00,13
2021-11-15 00:00:00+00:00,14
2022-01-25 00:00:00+00:00,15
2022-01-26 00:00:00+00:00,16
2022-02-09 00:00:00+00:00,17
2022-04-13 00:00:00+00:00,18
2022-05-01 00:00:00+00:00,19
2022-06-12 00:00:00+00:00,20
2022-06-13 00:00:00+00:00,21
2022-06-16 00:00:00+00:00,22
2022-08-02 00:00:00+00:00,23
2022-08-08 00:00:00+00:00,24
