time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-01-03 00:00:00+00:00,2,1,7,2
2021-01-04 00:00:00+00:00,3,3,3,1
2021-01-06 00:00:00+00:00,4,2,10,1
2021-01-07 00:00:00+00:00,1,1,3,1
2021-01-08 00:00:00+00:00,2,1,1,1
2021-01-13 00:00:00+00:00,1,1,4,1
2021-01-14 00:00:00+00:00,1,1,70,6
2021-01-15 00:00:00+00:00,1,1,1,1
2021-01-16 00:00:00+00:00,1,1,15,1
2021-01-17 00:00:00+00:00,2,2,1,1
2021-01-18 00:00:00+00:00,0,0,3,2
2021-01-19 00:00:00+00:00,0,0,6,1
2021-01-20 00:00:00+00:00,0,0,3,1
2021-01-21 00:00:00+00:00,0,0,3,1
2021-01-22 00:00:00+00:00,0,0,67,7
2021-01-23 00:00:00+00:00,16,4,66,3
2021-01-24 00:00:00+00:00,0,0,1,1
2021-01-25 00:00:00+00:00,0,0,18,2
2021-01-26 00:00:00+00:00,0,0,1,1
2021-01-27 00:00:00+00:00,0,0,7,2
2021-01-28 00:00:00+00:00,0,0,6,3
2021-01-29 00:00:00+00:00,0,0,1,1
2021-02-01 00:00:00+00:00,0,0,1,1
2021-02-03 00:00:00+00:00,1,1,1,1
2021-02-05 00:00:00+00:00,0,0,7,1
2021-02-08 00:00:00+00:00,0,0,1,1
2021-02-09 00:00:00+00:00,0,0,1,1
2021-02-10 00:00:00+00:00,0,0,2,2
2021-02-15 00:00:00+00:00,0,0,1,1
2021-02-16 00:00:00+00:00,0,0,8,1
2021-02-17 00:00:00+00:00,0,0,5,2
2021-02-19 00:00:00+00:00,0,0,1,1
2021-02-21 00:00:00+00:00,0,0,2,1
2021-02-22 00:00:00+00:00,0,0,6,3
2021-02-23 00:00:00+00:00,0,0,5,3
2021-02-26 00:00:00+00:00,0,0,1,1
2021-02-27 00:00:00+00:00,0,0,29,1
2021-02-28 00:00:00+00:00,0,0,1,1
2021-03-01 00:00:00+00:00,0,0,5,2
2021-03-02 00:00:00+00:00,0,0,3,1
2021-03-04 00:00:00+00:00,0,0,1,1
2021-03-05 00:00:00+00:00,0,0,3,3
2021-03-08 00:00:00+00:00,0,0,3,2
2021-03-09 00:00:00+00:00,1,1,1,1
2021-03-10 00:00:00+00:00,0,0,1,1
2021-03-12 00:00:00+00:00,0,0,1,1
2021-03-13 00:00:00+00:00,1,1,0,0
2021-03-14 00:00:00+00:00,1,1,3,1
2021-03-15 00:00:00+00:00,0,0,1,1
2021-03-16 00:00:00+00:00,1,1,3,1
2021-03-17 00:00:00+00:00,0,0,12,1
2021-03-18 00:00:00+00:00,16,5,53,1
2021-03-19 00:00:00+00:00,4,4,12,3
2021-03-21 00:00:00+00:00,1,1,0,0
2021-03-22 00:00:00+00:00,4,3,18,2
2021-03-24 00:00:00+00:00,0,0,2,1
2021-03-26 00:00:00+00:00,0,0,2,2
2021-03-27 00:00:00+00:00,0,0,11,1
2021-03-28 00:00:00+00:00,0,0,22,2
2021-03-29 00:00:00+00:00,0,0,3,3
2021-03-30 00:00:00+00:00,0,0,10,4
2021-03-31 00:00:00+00:00,1,1,5,1
2021-04-01 00:00:00+00:00,0,0,34,2
2021-04-02 00:00:00+00:00,0,0,14,2
2021-04-03 00:00:00+00:00,0,0,1,1
2021-04-04 00:00:00+00:00,0,0,5,2
2021-04-05 00:00:00+00:00,0,0,1,1
2021-04-06 00:00:00+00:00,1,1,4,3
2021-04-07 00:00:00+00:00,1,1,17,3
2021-04-08 00:00:00+00:00,0,0,10,7
2021-04-09 00:00:00+00:00,0,0,2,1
2021-04-10 00:00:00+00:00,0,0,4,1
2021-04-11 00:00:00+00:00,0,0,36,4
2021-04-12 00:00:00+00:00,1,1,7,1
2021-04-13 00:00:00+00:00,0,0,6,1
2021-04-14 00:00:00+00:00,10,3,116,13
2021-04-15 00:00:00+00:00,9,4,46,6
2021-04-16 00:00:00+00:00,1,1,21,5
2021-04-17 00:00:00+00:00,0,0,2,1
2021-04-18 00:00:00+00:00,0,0,2,2
2021-04-19 00:00:00+00:00,1,1,11,2
2021-04-20 00:00:00+00:00,0,0,4,3
2021-04-21 00:00:00+00:00,0,0,4,4
2021-04-22 00:00:00+00:00,0,0,10,4
2021-04-23 00:00:00+00:00,0,0,3,3
2021-04-24 00:00:00+00:00,0,0,1,1
2021-04-25 00:00:00+00:00,1,1,1,1
2021-04-26 00:00:00+00:00,0,0,21,1
2021-04-27 00:00:00+00:00,0,0,9,4
2021-04-28 00:00:00+00:00,0,0,7,2
2021-04-29 00:00:00+00:00,0,0,6,3
2021-04-30 00:00:00+00:00,0,0,9,5
2021-05-01 00:00:00+00:00,0,0,2,1
2021-05-02 00:00:00+00:00,1,1,1,1
2021-05-03 00:00:00+00:00,0,0,2,1
2021-05-04 00:00:00+00:00,0,0,6,3
2021-05-05 00:00:00+00:00,0,0,16,3
2021-05-06 00:00:00+00:00,0,0,22,3
2021-05-07 00:00:00+00:00,0,0,9,4
2021-05-09 00:00:00+00:00,1,1,0,0
2021-05-10 00:00:00+00:00,0,0,7,3
2021-05-11 00:00:00+00:00,0,0,1,1
2021-05-12 00:00:00+00:00,0,0,3,1
2021-05-13 00:00:00+00:00,0,0,4,3
2021-05-14 00:00:00+00:00,0,0,2,2
2021-05-15 00:00:00+00:00,0,0,2,2
2021-05-16 00:00:00+00:00,0,0,1,1
2021-05-18 00:00:00+00:00,0,0,17,4
2021-05-19 00:00:00+00:00,0,0,9,3
2021-05-20 00:00:00+00:00,0,0,25,4
2021-05-21 00:00:00+00:00,0,0,12,5
2021-05-23 00:00:00+00:00,0,0,2,2
2021-05-24 00:00:00+00:00,0,0,2,2
2021-05-25 00:00:00+00:00,0,0,7,2
2021-05-26 00:00:00+00:00,5,3,30,6
2021-05-27 00:00:00+00:00,0,0,3,2
2021-05-28 00:00:00+00:00,2,2,6,3
2021-05-29 00:00:00+00:00,4,2,0,0
2021-05-30 00:00:00+00:00,0,0,7,3
2021-05-31 00:00:00+00:00,2,2,0,0
2021-06-01 00:00:00+00:00,0,0,6,3
2021-06-02 00:00:00+00:00,0,0,34,4
2021-06-03 00:00:00+00:00,1,1,0,0
2021-06-04 00:00:00+00:00,0,0,16,1
2021-06-05 00:00:00+00:00,0,0,1,1
2021-06-08 00:00:00+00:00,0,0,11,4
2021-06-09 00:00:00+00:00,0,0,4,3
2021-06-10 00:00:00+00:00,0,0,2,2
2021-06-11 00:00:00+00:00,0,0,1,1
2021-06-12 00:00:00+00:00,0,0,2,1
2021-06-14 00:00:00+00:00,0,0,13,4
2021-06-15 00:00:00+00:00,0,0,3,1
2021-06-16 00:00:00+00:00,0,0,3,2
2021-06-17 00:00:00+00:00,1,1,1,1
2021-06-18 00:00:00+00:00,0,0,1,1
2021-06-19 00:00:00+00:00,0,0,1,1
2021-06-20 00:00:00+00:00,0,0,2,2
2021-06-21 00:00:00+00:00,0,0,25,2
2021-06-22 00:00:00+00:00,1,1,8,2
2021-06-23 00:00:00+00:00,0,0,2,1
2021-06-24 00:00:00+00:00,0,0,4,3
2021-06-26 00:00:00+00:00,1,1,1,1
2021-06-29 00:00:00+00:00,0,0,4,4
2021-06-30 00:00:00+00:00,0,0,25,3
2021-07-02 00:00:00+00:00,0,0,3,3
2021-07-03 00:00:00+00:00,0,0,5,1
2021-07-04 00:00:00+00:00,0,0,1,1
2021-07-05 00:00:00+00:00,0,0,5,3
2021-07-06 00:00:00+00:00,1,1,10,5
2021-07-07 00:00:00+00:00,0,0,9,6
2021-07-08 00:00:00+00:00,1,1,31,7
2021-07-09 00:00:00+00:00,1,1,14,4
2021-07-10 00:00:00+00:00,0,0,3,2
2021-07-11 00:00:00+00:00,0,0,4,2
2021-07-13 00:00:00+00:00,0,0,3,2
2021-07-14 00:00:00+00:00,0,0,3,3
2021-07-15 00:00:00+00:00,0,0,4,2
2021-07-16 00:00:00+00:00,0,0,2,2
2021-07-17 00:00:00+00:00,1,1,0,0
2021-07-18 00:00:00+00:00,0,0,1,1
2021-07-19 00:00:00+00:00,0,0,6,3
2021-07-20 00:00:00+00:00,0,0,2,2
2021-07-21 00:00:00+00:00,0,0,3,2
2021-07-22 00:00:00+00:00,1,1,3,2
2021-07-23 00:00:00+00:00,1,1,2,2
2021-07-24 00:00:00+00:00,0,0,1,1
2021-07-25 00:00:00+00:00,0,0,1,1
2021-07-26 00:00:00+00:00,0,0,23,7
2021-07-27 00:00:00+00:00,1,1,26,5
2021-07-28 00:00:00+00:00,0,0,21,7
2021-07-29 00:00:00+00:00,2,2,32,5
2021-07-30 00:00:00+00:00,0,0,7,2
2021-07-31 00:00:00+00:00,1,1,4,2
2021-08-01 00:00:00+00:00,0,0,1,1
2021-08-02 00:00:00+00:00,0,0,1,1
2021-08-03 00:00:00+00:00,0,0,65,5
2021-08-04 00:00:00+00:00,0,0,2,2
2021-08-05 00:00:00+00:00,0,0,15,4
2021-08-06 00:00:00+00:00,0,0,2,1
2021-08-07 00:00:00+00:00,0,0,2,2
2021-08-08 00:00:00+00:00,0,0,13,2
2021-08-09 00:00:00+00:00,1,1,40,4
2021-08-10 00:00:00+00:00,0,0,20,5
2021-08-11 00:00:00+00:00,2,2,6,4
2021-08-12 00:00:00+00:00,0,0,11,1
2021-08-13 00:00:00+00:00,2,2,79,6
2021-08-14 00:00:00+00:00,0,0,1,1
2021-08-15 00:00:00+00:00,0,0,2,2
2021-08-16 00:00:00+00:00,0,0,3,3
2021-08-17 00:00:00+00:00,0,0,2,2
2021-08-18 00:00:00+00:00,0,0,2,2
2021-08-19 00:00:00+00:00,2,2,12,7
2021-08-20 00:00:00+00:00,0,0,12,4
2021-08-24 00:00:00+00:00,1,1,1,1
2021-08-25 00:00:00+00:00,1,1,1,1
2021-08-26 00:00:00+00:00,0,0,1,1
2021-08-27 00:00:00+00:00,1,1,11,3
2021-08-28 00:00:00+00:00,1,1,19,2
2021-08-30 00:00:00+00:00,0,0,20,6
2021-08-31 00:00:00+00:00,0,0,3,2
2021-09-01 00:00:00+00:00,1,1,15,4
2021-09-02 00:00:00+00:00,0,0,4,2
2021-09-03 00:00:00+00:00,0,0,19,3
2021-09-07 00:00:00+00:00,18,6,4,3
2021-09-08 00:00:00+00:00,0,0,25,22
2021-09-09 00:00:00+00:00,0,0,18,6
2021-09-10 00:00:00+00:00,4,4,6,1
2021-09-11 00:00:00+00:00,5,3,66,43
2021-09-12 00:00:00+00:00,1,1,80,51
2021-09-13 00:00:00+00:00,0,0,46,29
2021-09-14 00:00:00+00:00,1,1,59,24
2021-09-15 00:00:00+00:00,0,0,21,12
2021-09-16 00:00:00+00:00,0,0,47,7
2021-09-17 00:00:00+00:00,0,0,11,5
2021-09-18 00:00:00+00:00,0,0,1,1
2021-09-19 00:00:00+00:00,0,0,1,1
2021-09-20 00:00:00+00:00,0,0,2,2
2021-09-21 00:00:00+00:00,1,1,0,0
2021-09-22 00:00:00+00:00,0,0,7,4
2021-09-23 00:00:00+00:00,0,0,2,2
2021-09-24 00:00:00+00:00,0,0,2,2
2021-09-25 00:00:00+00:00,0,0,4,2
2021-09-26 00:00:00+00:00,0,0,4,2
2021-09-27 00:00:00+00:00,0,0,5,4
2021-09-28 00:00:00+00:00,1,1,15,5
2021-09-29 00:00:00+00:00,0,0,2,2
2021-09-30 00:00:00+00:00,0,0,8,2
2021-10-01 00:00:00+00:00,0,0,6,6
2021-10-02 00:00:00+00:00,0,0,2,2
2021-10-03 00:00:00+00:00,0,0,3,1
2021-10-04 00:00:00+00:00,0,0,3,3
2021-10-05 00:00:00+00:00,1,1,8,6
